iter	Passed	Remaining
0	164	16273
1	165	8107
2	182	5916
3	216	5207
4	250	4764
5	285	4477
6	324	4308
7	356	4100
8	393	3979
9	426	3841
10	463	3747
11	498	3653
12	529	3545
13	562	3456
14	593	3363
15	604	3175
16	640	3126
17	679	3095
18	716	3053
19	735	2942
20	766	2881
21	802	2843
22	803	2689
23	838	2654
24	876	2630
25	908	2586
26	946	2558
27	977	2513
28	1015	2485
29	1050	2450
30	1084	2414
31	1120	2381
32	1157	2350
33	1191	2312
34	1223	2272
35	1255	2231
36	1290	2197
37	1329	2169
38	1361	2130
39	1397	2095
40	1398	2012
41	1432	1977
42	1465	1942
43	1470	1871
44	1472	1799
45	1505	1767
46	1539	1736
47	1570	1701
48	1604	1670
49	1642	1642
50	1675	1609
51	1707	1575
52	1745	1547
53	1779	1516
54	1812	1482
55	1844	1449
56	1878	1416
57	1910	1383
58	1941	1349
59	1978	1318
60	2014	1287
61	2059	1262
62	2090	1227
63	2125	1195
64	2153	1159
65	2187	1126
66	2224	1095
67	2258	1063
68	2290	1028
69	2320	994
70	2353	961
71	2386	928
72	2423	896
73	2458	863
74	2492	830
75	2526	797
76	2559	764
77	2593	731
78	2629	698
79	2665	666
80	2699	633
81	2732	599
82	2766	566
83	2796	532
84	2832	499
85	2863	466
86	2902	433
87	2937	400
88	2971	367
89	3002	333
90	3032	299
91	3069	266
92	3107	233
93	3140	200
94	3173	167
95	3207	133
96	3238	100
97	3273	66
98	3308	33
99	3346	0
